room,npc,str,ptrFieldAddr,textAddr
31,0,1,0x1c7dc2,0x1c7e90
31,0,2,0x1c7dc4,0x1c7f06
31,0,3,0x1c7dc6,0x1c7f62
31,0,4,0x1c7dc8,0x1c7f9c
31,0,5,0x1c7dca,0x1c8026
31,0,6,0x1c7dcc,0x1c8072
31,0,7,0x1c7dce,0x1c80f6
31,0,8,0x1c7dd0,0x1c8158
31,0,9,0x1c7dd2,0x1c81e2
31,0,10,0x1c7dd4,0x1c81fc
31,1,0,0x1c8280,0x1c828a
31,1,1,0x1c8282,0x1c82c2
31,1,2,0x1c8284,0x1c8396
31,1,3,0x1c8286,0x1c83aa
31,1,4,0x1c8288,0x1c83e8
31,2,0,0x1c8424,0x1c8426
31,3,0,0x1c846e,0x1c8470
31,4,0,0x1c84ec,0x1c84ee
32,0,0,0x1c8562,0x1c8570
32,0,1,0x1c8564,0x1c85c4
32,0,2,0x1c8566,0x1c8666
32,0,3,0x1c8568,0x1c875a
32,0,4,0x1c856a,0x1c877a
32,0,5,0x1c856c,0x1c87c8
32,0,6,0x1c856e,0x1c88ec
32,1,0,0x1c894e,0x1c8952
32,1,1,0x1c8950,0x1c899c
32,2,0,0x1c89ee,0x1c89f2
32,2,1,0x1c89f0,0x1c8a34
32,3,0,0x1c8a7c,0x1c8a80
32,3,1,0x1c8a7e,0x1c8af4
33,0,0,0x1c8b4a,0x1c8b4c
33,1,0,0x1c8b8c,0x1c8b8e
33,2,0,0x1c8bc8,0x1c8bca
33,3,0,0x1c8c0e,0x1c8c10
33,4,0,0x1c8c56,0x1c8c58
34,0,0,0x1c8d06,0x1c8d0e
34,0,1,0x1c8d08,0x1c8d9a
34,0,2,0x1c8d0a,0x1c8dca
34,0,3,0x1c8d0c,0x1c8e26
34,1,0,0x1c8ec2,0x1c8eca
34,1,1,0x1c8ec4,0x1c8f58
34,1,2,0x1c8ec6,0x1c8fde
34,1,3,0x1c8ec8,0x1c9088
35,0,0,0x1c9122,0x1c9128
35,0,1,0x1c9124,0x1c917c
35,0,2,0x1c9126,0x1c91c6
35,1,0,0x1c9260,0x1c926c
35,1,1,0x1c9262,0x1c9306
35,1,2,0x1c9264,0x1c935a
35,1,3,0x1c9266,0x1c939e
35,1,4,0x1c9268,0x1c93ba
35,1,5,0x1c926a,0x1c945e
36,0,0,0x1c9484,0x1c9486
36,1,0,0x1c948c,0x1c9492
36,1,1,0x1c948e,0x1c9498
36,1,2,0x1c9490,0x1c949e
36,2,0,0x1c94a4,0x1c94a8
36,2,1,0x1c94a6,0x1c94d4
37,0,0,0x1c9484,0x1c9486
37,1,0,0x1c948c,0x1c9492
37,1,1,0x1c948e,0x1c9498
37,1,2,0x1c9490,0x1c949e
37,2,0,0x1c94a4,0x1c94a8
37,2,1,0x1c94a6,0x1c94d4
38,0,0,0x1c951a,0x1c951e
